Station,Weekday Entry & Exit Nos Combined,Usage Compared to Waterloo
Waterloo,"297,151",100.00%
King's Cross St. Pancras,"296,014",99.60%
Oxford Circus,"257,759",86.70%
Victoria,"243,801",82.00%
Bank & Monument,"224,256",75.50%
Liverpool Street,"224,125",75.40%
London Bridge,"220,654",74.30%
Paddington,"155,079",52.20%
Euston,"129,541",43.60%
Green Park,"126,711",42.60%
Tottenham Court Road,"126,015",42.40%
Bond Street,"121,358",40.80%
Piccadilly Circus,"116,225",39.10%
Holborn,"107,905",36.30%
Moorgate,"101,442",34.10%
South Kensington,"100,135",33.70%
Vauxhall,"97,486",32.80%
Leicester Square,"97,289",32.70%
Baker Street,"92,029",31.00%
Old Street,"84,073",28.30%
Westminster,"77,242",26.00%
Farringdon,"73,938",24.90%
Elephant & Castle,"70,244",23.60%
Warren Street,"69,734",23.50%
Embankment,"68,555",23.10%
Chancery Lane,"63,863",21.50%
Tower Hill,"63,256",21.30%
Angel,"60,512",20.40%
Earl's Court,"60,421",20.30%
Charing Cross,"60,211",20.30%
St. Paul's,"58,431",19.70%
Southwark,"56,987",19.20%
Sloane Square,"54,951",18.50%
Blackfriars,"51,437",17.30%
St. James's Park,"50,532",17.00%
Euston Square,"49,219",16.60%
Knightsbridge,"48,836",16.40%
Covent Garden,"47,254",15.90%
Notting Hill Gate,"47,188",15.90%
Aldgate East,"43,398",14.60%
Marylebone,"42,640",14.30%
Gloucester Road,"42,283",14.20%
Marble Arch,"42,263",14.20%
Barbican,"41,192",13.90%
High Street Kensington,"40,133",13.50%
Russell Square,"35,616",12.00%
Pimlico,"35,262",11.90%
Cannon Street,"34,097",11.50%
Temple,"31,624",10.60%
Aldgate,"31,103",10.50%
Great Portland Street,"28,504",9.60%
Goodge Street,"25,611",8.60%
Queensway,"24,126",8.10%
Edgware Road (Cir),"23,366",7.90%
Mansion House,"23,314",7.80%
Borough,"18,843",6.30%
Lancaster Gate,"18,688",6.30%
Hyde Park Corner,"15,807",5.30%
Edgware Road (Bak),"14,830",5.00%
Bayswater,"13,255",4.50%
Regent's Park,"11,877",4.00%
Lambeth North,"10,330",3.50%
Stratford,"180,027",60.60%
Canary Wharf,"173,466",58.40%
Finsbury Park,"97,391",32.80%
Brixton,"99,850",33.60%